package_name,download_count
grpcio-health-checking,6624030
databricks-sql-connector,6612905
graphql-core,6607645
linkify-it-py,6604903
nodejs-wheel-binaries,6603972
pox,6584841
ppft,6571364
lark,6566930
pandas-gbq,6549278
tiktoken,6516229
Send2Trash,6508349
widgetsnbextension,6495304
jupyterlab-widgets,6469561
oauth2client,6459282
graphviz,6451154
google-cloud-resource-manager,6446230
fastavro,6425366
asynctest,6420946
flatbuffers,6415692
webcolors,6414770
h5py,6382192
opentelemetry-instrumentation,6375894
tblib,6297096
semantic-version,6289794
zope.event,6281343
google-cloud-logging,6281167
gcsfs,6280123
deepdiff,6267462
plotly,6256843
dbt-core,6252280
docstring-parser,6215035
cached-property,6211732
Faker,6174362
terminado,6156223
uv,6151041
sagemaker,6146824
dataclasses,6116980
async-lru,6097054
dask,6095847
hyperlink,6090104
antlr4-python3-runtime,6085195
sentencepiece,6006540
hvac,6001585
rich-argparse,5999309
time-machine,5977580
amqp,5971151
fqdn,5963852
notebook-shim,5937508
safetensors,5923546
uri-template,5916324
isoduration,5897323
langchain-community,5888451
rfc3986-validator,5861063
durationpy,5852848
deprecation,5759778
vine,5717752
confluent-kafka,5706154
jupyter-events,5700766
adal,5695429
apispec,5679387
universal-pathlib,5677536
click-man,5666536
editables,5661855
zstandard,5659710
google-cloud-bigquery-storage,5654200
entrypoints,5637396
kombu,5619594
retrying,5613845
numba,5589963
seaborn,5572132
xxhash,5548327
celery,5539588
aws-requests-auth,5521759
marshmallow-oneofschema,5511055
jupyter-server-terminals,5496164
gevent,5484714
wtforms,5478702
tensorflow,5474347
sphinx-rtd-theme,5463983
Flask-Session,5445746
monotonic,5425121
bitarray,5421130
opentelemetry-util-http,5410860
llvmlite,5404374
billiard,5374270
Flask-Login,5361228
pipenv,5354803
datasets,5353858
wsproto,5352901
yapf,5315646
gast,5312020
google-cloud-dataproc,5311555
docker-pycreds,5296066
zeep,5291055
jupyter-lsp,5260885
ecdsa,5248808
incremental,5243363
html5lib,5141067
makefun,5136509
gremlinpython,5103524
pydata-google-auth,5097914
Authlib,5040216
Unidecode,5031119
pybind11,5001604
Flask-AppBuilder,4970013
wandb,4967310
smdebug-rulesconfig,4960933
humanize,4958305
twisted,4945349
moto,4938718
apache-airflow-providers-cncf-kubernetes,4929988
google-cloud-audit-log,4929297
great-expectations,4928521
click-didyoumean,4900407
psycopg2,4890111
libcst,4889782
DateTime,4876248
frozendict,4869368
click-repl,4862888
thrift,4856155
fasteners,4847293
constantly,4836927
Automat,4836010
Flask-Cors,4815236
partd,4813213
azure-keyvault-secrets,4804041
databricks-sdk,4779499
locket,4775906
click-plugins,4759484
SQLAlchemy-Utils,4743963
looker-sdk,4740320
pydeequ,4684973
nvidia-nccl-cu12,4664507
spacy,4613074
sshtunnel,4584416
google-cloud-monitoring,4577452
pip-tools,4573580
pymssql,4564013
commonmark,4561255
types-pytz,4558791
torchvision,4540959
argparse,4529727
imbalanced-learn,4510532
iso8601,4505951
statsmodels,4499636
azure-mgmt-core,4493123
google-cloud-kms,4478160
scikit-image,4474521
astor,4468896
google-re2,4457462
levenshtein,4436440
google-cloud-vision,4419809
backcall,4399270
pickleshare,4397174
google-cloud-spanner,4384015
triton,4376697
google-cloud-container,4373546
cachelib,4348296
apache-beam,4334652
SQLAlchemy-JSONField,4330375
kafka-python,4329840
sphinxcontrib-jquery,4323750
astunparse,4316602
djangorestframework,4271220
funcsigs,4267671
google-cloud-tasks,4264713
patsy,4254177
stevedore,4254150
delta-spark,4244168
google-cloud-datacatalog,4233574
google-cloud-dlp,4229959
langsmith,4224785
google-cloud-bigquery-datatransfer,4211233
APScheduler,4202260
pytimeparse,4199118
parsimonious,4179166
simple-salesforce,4175283
boto3-stubs,4143617
opentelemetry-instrumentation-requests,4129985
google-cloud-bigtable,4113380
tensorboard-data-server,4106499
nvidia-cublas-cu12,4106020
mypy-boto3-s3,4093633
ConfigUpdater,4075606
configparser,4051310
keras,4048073
jira,4046054
opencv-python,4031318
google-ads,4027601
thinc,4018662
python-jose,4013338
avro-python3,4004170
nvidia-cusparse-cu12,3984055
nvidia-nvjitlink-cu12,3980934
narwhals,3968361
ijson,3966369
google-cloud-workflows,3954223
blis,3953374
google-cloud-firestore,3951543
waitress,3945219
nvidia-cuda-runtime-cu12,3942989
mlflow,3942469
google-cloud-build,3941336
google-cloud-dataplex,3936251
WebOb,3933386
nvidia-cuda-cupti-cu12,3932995
google-cloud-redis,3929496
azure-datalake-store,3915241
h2,3911826
nvidia-cufft-cu12,3911159
astropy,3901586
google-cloud-automl,3885463
apache-airflow-providers-snowflake,3884284
nvidia-cuda-nvrtc-cu12,3883659
watchtower,3880875
catalogue,3868268
hpack,3857548
nvidia-cudnn-cu12,3856954
uc-micro-py,3842826
nvidia-curand-cu12,3840620
Brotli,3838413
google-cloud-videointelligence,3830703
google-cloud-os-login,3827026
nvidia-cusolver-cu12,3825858
hyperframe,3815785
srsly,3799725
google-cloud-language,3795376
analytics-python,3791072
opt-einsum,3786217
botocore-stubs,3778078
sqlalchemy-bigquery,3776221
nvidia-nvtx-cu12,3766918
preshed,3762831
wasabi,3749095
pyerfa,3741993
mashumaro,3734748
google-cloud-memcache,3729705
google-cloud-translate,3719358
google-cloud-dataproc-metastore,3711281
mypy-boto3-rds,3708759
asyncpg,3705679
google-cloud-orchestration-airflow,3699089
tensorflow-estimator,3678616
pytest-django,3677942
texttable,3665695
langcodes,3652358
aniso8601,3645184
tldextract,3644221
sh,3638629
aiosqlite,3632369
agate,3632293
google-cloud-compute,3631501
dacite,3629581
apache-airflow-providers-ssh,3621302
databricks-cli,3619779
pytest-metadata,3606529
gcloud-aio-auth,3589890
apache-airflow-providers-databricks,3586907
apache-airflow-providers-google,3577039
gcloud-aio-storage,3575012
google-cloud-speech,3574358
gspread,3573016
immutabledict,3572689
pytest-html,3557871
cytoolz,3554490
omegaconf,3541570
polars,3529583
types-setuptools,3527785
google-cloud-texttospeech,3515869
python-magic,3491879
azure-mgmt-resource,3483873
types-awscrt,3483458
types-protobuf,3482044
google-cloud-dataform,3466210
pycountry,3466130
astropy-iers-data,3465926
pyroaring,3461327
cssselect,3459934
astronomer-cosmos,3457446
mlflow-skinny,3455492
bidict,3452152
Flask-JWT-Extended,3448647
Pint,3437806
cymem,3431336
pkce,3427325
murmurhash,3422990
spacy-legacy,3403027
parse,3394521
graphene,3390767
types-s3transfer,3388715
enum34,3386605
eth-utils,3374239
gcloud-aio-bigquery,3374129
pywin32,3368757
marshmallow-sqlalchemy,3367137
eth-hash,3356278
msgspec,3349333
lightgbm,3335353
jsonpickle,3331659
msrestazure,3321319
pytest-timeout,3318768
graphql-relay,3312407
validators,3311685
spacy-loggers,3304564
python-gitlab,3299289
eth-typing,3287584
apache-airflow-providers-http,3281619
pypdf2,3281230
evergreen-py,3269473
parsedatetime,3259616
zc.lockfile,3240806
confection,3236481
dateparser,3234153
pytest-rerunfailures,3216080
ddtrace,3203464
apache-airflow-providers-mysql,3201564
flexparser,3180711
langchain-text-splitters,3180371
netaddr,3166036
opencensus,3163204
flexcache,3162451
mergedeep,3144342
elastic-transport,3132551
Flask-Limiter,3129844
types-urllib3,3094740
ninja,3088350
cron-descriptor,3078868
mysqlclient,3078151
limits,3076192
cramjam,3072460
db-contrib-tool,3072237
psycopg,3069568
dbt-adapters,3055737
dbt-common,3043486
opencensus-context,3035350
autopep8,3029576
ml-dtypes,3019968
PyWavelets,3012695
natsort,3008385
PyQt5,2996044
grpcio-gcp,2963614
gym-notices,2960841
factory-boy,2950201
libclang,2937329
azure-kusto-data,2927656
fastapi-cli,2924971
pydash,2903706
pathlib,2894577
onnxruntime,2889622
transaction,2879774
bytecode,2871442
jupyter-console,2864790
invoke,2861987
Flask-Babel,2850385
envier,2839518
pysftp,2835201
python-gnupg,2826457
clickclick,2826397
jpype1,2824131
jupyter,2813627
BTrees,2812550
lark-parser,2808503
opentelemetry-instrumentation-asgi,2808329
zope.proxy,2807138
persistent,2803484
azure-storage-queue,2798626
zope.deferredimport,2797060
PyQt5-sip,2786428
backports.zoneinfo,2785798
sendgrid,2783393
yamllint,2781765
voluptuous,2781453
zodbpickle,2778728
pyathena,2776376
leather,2773451
ZConfig,2771902
ZODB,2771317
pygame,2771265
tensorflow-io-gcs-filesystem,2770935
dbt-extractor,2769198
typing,2751102
WebTest,2747821
zope.deprecation,2742960
elementpath,2740047
pyee,2738219
tokenize-rt,2731568
bottle,2716821
cfn-lint,2708195
PasteDeploy,2700761
pycrypto,2692506
opentelemetry-instrumentation-fastapi,2692374
immutables,2686764
passlib,2684673
google-cloud-dataflow-client,2662036
PyQt5-Qt5,2658062
diskcache,2654157
aliyun-python-sdk-core,2644391
resolvelib,2633105
azure-mgmt-storage,2630931
inflect,2629679
phonenumbers,2629627
streamlit,2606363
rdkit,2605890
openapi-spec-validator,2602784
pyproj,2579380
Logbook,2569646
methodtools,2567877
dbt-semantic-interfaces,2552785
bracex,2542850
py-cpuinfo,2529547
azure-servicebus,2525852
mmh3,2523489
boto,2522744
roman,2521410
python-http-client,2520069
aws-xray-sdk,2511040
apache-airflow-providers-ftp,2506648
accelerate,2506587
ratelimit,2506270
tensorflow-serving-api,2506175
wirerope,2501499
azure-mgmt-datafactory,2498157
opencensus-ext-azure,2488007
logzero,2484582
django-filter,2484258
Office365-REST-Python-Client,2472635
google-cloud-run,2469240
holidays,2468542
pypdf,2464957
apache-airflow-providers-sqlite,2459918
ConfigArgParse,2446423
eth-abi,2437189
avro,2422141
contextlib2,2419433
google-cloud-storage-transfer,2416292
pyspnego,2410206
uncertainties,2406708
azure-cosmos,2405303
paho-mqtt,2403590
pydot,2396487
cmake,2393091
google-cloud-batch,2384000
oracledb,2375735
prison,2369982
coveralls,2351253
distributed,2350771
langchain-openai,2343379
fs,2342621
pydeck,2338716
duckdb,2325393
azure-storage-file-share,2315849
tomli-w,2310309
cloudpathlib,2295125
