target_pkg,confuser_pkgs
apache-airflow-providers-standard,
apache-airflow-providers-tableau,
apache-airflow-providers-tabular,
apache-airflow-providers-telegram,
apache-airflow-providers-teradata,
apache-airflow-providers-trino,
apache-airflow-providers-vertica,
apache-airflow-providers-weaviate,
apache-airflow-providers-yandex,
apache-airflow-providers-ydb,
apache-airflow-providers-zendesk,
apache-airflow,apacheairflow;airflow
apache-beam,beam
apache-flink-libraries,
apache-flink,flink
apache-libcloud,
apache-sedona,sedona
apache-superset,superset
apeye-core,
apeye,aceye
api-insee,api
api-session,api
api4jenkins,
apiclient,wapiclient;apyclient;dapiclient;apiqlient;epiclient;sapiclient;api-client;hapiclient
APIFlask,apiflash
apify-client,client
apify-shared,shared
apify,agify;ipify;mapify;apipy;tpify;appify;aify
apimatic-core,
apimatic-requests-client-adapter,
apipkg,aipkg
apischema,
apispec-oneofschema,
apispec-webframeworks,
apispec,apisec;oapispec;pispec
apitools,vpitools;hapitools;aitools;epitools;apmtools;apptools;papitools;akitools;apstools;ap-tools;amitools;pitools
apkinspector,appinspector
apkutils2,apkutils3;apkutils
aplr,appr;apxr;aprl;amlr;kplr;aflr;alpr;apls
aplus,splus;axplus;oplus;apus;mplus;atlus;apls;eplus;plus;tplus
apngasm-python,
apns2,apns;apns3;apns23
app-model,app
app-store-scraper,app-store-scrapr;app-store
app-store-server-library,app-store-server
appdirs-stubs,stubs
appdirs,
appdynamics-bindeps-linux-x64,
appdynamics-proxysupport-linux-x64,
appdynamics,
appengine-python-standard,
appier,arpier;happier;appie;appver;applier
appinsights,
Appium-Python-Client,
application-properties,application
applicationinsights,
appnope,
apprise,appraise
aprslib,
APScheduler,pscheduler
apsw,ipsw;apsd;appw;apsg;apss;apgw;aps;apsi
apysc,apys;pysc
aqtinstall,
aqtp,qtp;atp;aqt;antp
ara,aar;mara;aha;ava;arr;aya;a9a;aga;era;aja;ari;raa;ra;arca;arac;tara;arb;ora;arx;arl;aka;ana;aqa;nara;arn;aira;aray;aura;ira;aba;aea;ard;arh;asa;aram;fra;arf;sra;cra;a2a;aca;abra;pra;aia;aru;bara;awa;arat;mra;aza;aria;arta;arka;are;arang;gra;arpa;ama;yara;arg;arsa;ark;aoa;ar;sara;cara;arv;arc;arya;a4a;arp;arda;acra;area
arabic-reshaper,reshaper
arcade,arcadepy;arcane;arcode;arqade;arcadb;arcae
arcgis,
arcgis2geojson,
arch,larch;march;arcl;arh;aich;arche;arca;archr;arcu;barch;arcp;arcs;archi;arth;archpy;rch;arc;garch;arcx;arc4;asrch
archinfo,
archive-path,
archivebox,
archspec,
arcticdb,
arelle-release,arelle
aresponses,eresponses
arff,arfs;irff;arf;urff;asff;aff;arfp;arfx
argcomplete,
argh,argx;argc;argy;argp;arh;arrgh;argv;arg;argi;argz;arth
argilla,armilla;ardilla
argo-workflows,workflows
argon2-cffi-bindings,
argon2-cffi,argon2
argostranslate,
argparse-addons,
argparse-dataclass,dataclass
argparse-ext,
argparse-helper,helper
argparse-logging,
argparse-manpage,
argparse,jargparse;orgparse;dargparse;argparse3;cargparse;argparge;argparsh;gargparse;argparsex;arcparse;yargparse
argparse2,argparse3;argparsex
args,orgs;lrgs;cargs;argx;argc;argos;argus;argy;argp;aigs;argsy;aegs;ares;arfs;rags;argv;xargs;arges;arcs;arls;arms;arg;argi;aros;argz;oargs;arts;argspython;arus;rgs;arps;yargs;iargs
ariadne-codegen,
ariadne,ariadna
aridity,
aristaproto,
arize-phoenix-evals,
arize-phoenix-otel,
arize-phoenix,phoenix
arize,prize;rize;arie;arise;apize
arm-pyart,pyart
arnparse,amnparse;arcparse
Arpeggio,arpegio
arq,brq;arlq;arr;orq;ari;akq;atq;arb;larq;arpq;arx;arl;aq;arn;ard;acq;prq;arh;alq;arf;parq;mrq;zrq;aru;grq;apq;aaq;darq;are;arg;ark;narq;abq;ar;asq;arv;arc;arp
array-api-compat,
array-api-strict,
array-record,
arraykit,
arraymap,
arro3-compute,
arro3-core,
arro3-io,
arrow-odbc,
arrow,arbow;harrow;arrowpython;narrow;arrow-ng
art,aort;xrt;a3t;hrt;arr;bart;agt;urt;ari;artk;amt;rrt;brt;aat;arb;ort;acrt;arx;iart;artpy;arl;fart;arst;at;arn;irt;abt;cart;aet;ard;arh;arti;vrt;avt;frt;arf;asrt;crt;adrt;rat;mart;atr;prt;ait;aru;alt;arat;mrt;azt;rt;arta;ant;aqt;tart;dart;att;aert;are;grt;aart;trt;arg;drt;aprt;ark;nart;airt;arte;aot;ar;arth;a2t;arts;kart;art-python;nrt;arv;arc;aft;xart;hart;aurt;krt;arp;uart
arthurai,
artifactory,
artifacts-keyring,artifacts
arviz,arriz;xrviz;abrviz;trviz;arvi;barviz;adviz
arxiv,aixiv;arxivs;arxivpy
asammdf,
asana,hasana;alana;sana;asan;ksana;aana;asuna;basana;asaa
ascii-canvas,ascii;canvas;asciicanvas
ascii-magic,ascii
asciichartpy,asciichart
asciidoc,asciidoc3
asciimatics,
asciitable,masciitable;ascii-table
asciitree,
ascvd,ascvid;ascid;ascmd
asdf-astropy,
asdf-coordinates-schemas,
asdf-standard,standard
asdf-transform-schemas,
asdf-wcs-schemas,
asdf,asdfy;asdfg;tsdf;asff;nsdf;adf;asdff;awsdf;asif;asd;rsdf;bsdf;asf;asdb;sadf;asdm;fsdf;asdl;psdf
ase,ae;mse;tase;as;jse;asc;asbe;asy;gse;ake;asm;ane;ate;tse;dse;ashe;ave;nse;asg;ease;ask;asa;a8e;rase;base;asx;aie;awe;use;ese;asp;lase;asd;rse;bse;asr;asf;fase;aae;ade;aoe;case;are;asepy;asb;asu;ace;pase;aise;asl;vse;fse;mase;asq;sse;jase;aes;ass;pse;age;gase;as3;ame;ape
asgarde,asgard
asgi-correlation-id,
asgi-lifespan,
asgi-tools,wsgi-tools
asgiref,asgirefs
asks,asjs;ask;ass;asms;asis;asts;aks;masks;asos;tasks;askw
asn1,jasn1
asn1ate,
asn1crypto,
asn1tools,asn1tool
Aspidites,
aspose-cells,aspose-cells-python;cells
aspose-words,words
aspy.refactor-imports,imports;aspy
aspy.yaml,aspy
asr-evaluation,asr;evaluation
assemblyai,
assemblyline-core,
assemblyline-service-client,
assemblyline-service-server,
assemblyline-ui,ui
assemblyline-v4-service,assemblyline-v3-service
assemblyline,
assertpy,asserty
asset,sset;aiset;assep;asst;amset;auset
assisted-service-client,
